PRACTICE_WORD_COUNT: 16
TIME_EXPERIMENT_START: 154488067746712
TIME_WORD_START: 154488068448715; WORD_VALUE: shirr
TIME_SPECIAL: 154490884282127; POINT_POSITION: (24.1088, 258.052, 162.481); TOOL_DIRECTION: (-0.149515, -0.0866265, -0.984957)
TIME_SPECIAL: 154490900940763; POINT_POSITION: (50.3491, 254.605, 145.522); TOOL_DIRECTION: (-0.138469, -0.0936793, -0.985926)
TIME_SPECIAL: 154490917563275; POINT_POSITION: (74.5015, 250.328, 132.865); TOOL_DIRECTION: (-0.128774, -0.106383, -0.985951)
TIME_SPECIAL: 154490934254053; POINT_POSITION: (97.9028, 247.181, 123.551); TOOL_DIRECTION: (-0.119911, -0.114753, -0.98613)
TIME_SPECIAL: 154490950988350; POINT_POSITION: (117.255, 246.037, 108.567); TOOL_DIRECTION: (-0.113844, -0.114098, -0.986925)
TIME_SPECIAL: 154490967675431; POINT_POSITION: (132.718, 243.94, 93.138); TOOL_DIRECTION: (-0.108404, -0.11948, -0.986901)
TIME_SPECIAL: 154490984268645; POINT_POSITION: (137.949, 243.025, 85.825); TOOL_DIRECTION: (-0.10732, -0.120286, -0.986921)
TIME_SPECIAL: 154491000973360; POINT_POSITION: (141.721, 241.969, 73.3076); TOOL_DIRECTION: (-0.108195, -0.120497, -0.9868)
TIME_SPECIAL: 154491017731267; POINT_POSITION: (144.404, 238.139, 59.8425); TOOL_DIRECTION: (-0.109611, -0.127978, -0.985701)
TIME_SPECIAL: 154491034325903; POINT_POSITION: (140.069, 236.708, 49.0702); TOOL_DIRECTION: (-0.114028, -0.127764, -0.985228)
TIME_SPECIAL: 154491051047116; POINT_POSITION: (137.443, 234.574, 38.1726); TOOL_DIRECTION: (-0.116546, -0.126998, -0.985032)
TIME_SPECIAL: 154491067675317; POINT_POSITION: (133.641, 231.109, 45.8453); TOOL_DIRECTION: (-0.117623, -0.130035, -0.984508)
TIME_SPECIAL: 154491084354717; POINT_POSITION: (128.777, 225.41, 82.7825); TOOL_DIRECTION: (-0.116553, -0.136625, -0.983742)
