PRACTICE_WORD_COUNT: 11
TIME_EXPERIMENT_START: 2879421758508
TIME_WORD_START: 2879422397646; WORD_VALUE: hipped
TIME_SPECIAL: 2882251647408; POINT_POSITION: (776.896, 225.11, 0); TOOL_DIRECTION: (0.0487799, -0.0789072, -0.995688)
TIME_SPECIAL: 2882268326718; POINT_POSITION: (761.536, 225.51, 0); TOOL_DIRECTION: (0.0403242, -0.0766863, -0.996239)
TIME_SPECIAL: 2882285042152; POINT_POSITION: (743.992, 226.121, 0); TOOL_DIRECTION: (0.0307568, -0.0763149, -0.996609)
TIME_SPECIAL: 2882301685623; POINT_POSITION: (720.042, 227.382, 0); TOOL_DIRECTION: (0.0177965, -0.0619522, -0.99792)
TIME_SPECIAL: 2882318391101; POINT_POSITION: (693.632, 227.835, 0); TOOL_DIRECTION: (0.00400399, -0.0555604, -0.998447)
TIME_SPECIAL: 2882335065007; POINT_POSITION: (665.683, 228.196, 0); TOOL_DIRECTION: (-0.00928314, -0.0457347, -0.99891)
TIME_SPECIAL: 2882351721846; POINT_POSITION: (651.089, 228.322, 0); TOOL_DIRECTION: (-0.0161035, -0.044867, -0.998863)
TIME_SPECIAL: 2882368344268; POINT_POSITION: (620.645, 228.241, 0); TOOL_DIRECTION: (-0.0316678, -0.0392367, -0.998728)
TIME_SPECIAL: 2882385064253; POINT_POSITION: (591.094, 227.439, 0); TOOL_DIRECTION: (-0.046691, -0.0397172, -0.998119)
TIME_SPECIAL: 2882401736452; POINT_POSITION: (564.416, 226.539, 0); TOOL_DIRECTION: (-0.0608192, -0.0377306, -0.997435)
TIME_SPECIAL: 2882418428562; POINT_POSITION: (542.017, 225.725, 0); TOOL_DIRECTION: (-0.0714582, -0.0391909, -0.996673)
TIME_SPECIAL: 2882435096210; POINT_POSITION: (522.596, 225.116, 0); TOOL_DIRECTION: (-0.0796765, -0.0435281, -0.99587)
