TIME_EXPERIMENT_START: 14895102190570
TIME_WORD_START: 14895105553667; WORD_VALUE: the
TIME_SPECIAL: 14897975934068; POINT_POSITION: (192.789, 291.475, 124.163); TOOL_DIRECTION: (-0.192317, 0.105225, -0.975675)
TIME_SPECIAL: 14897990759891; POINT_POSITION: (196.352, 292.459, 138.376); TOOL_DIRECTION: (-0.194805, 0.110588, -0.974588)
TIME_SPECIAL: 14898006314972; POINT_POSITION: (205.485, 293.91, 168.898); TOOL_DIRECTION: (-0.197794, 0.121968, -0.972626)
TIME_SPECIAL: 14898021272466; POINT_POSITION: (218.982, 293.267, 200.508); TOOL_DIRECTION: (-0.195026, 0.131149, -0.97199)
TIME_SPECIAL: 14898036352314; POINT_POSITION: (239.768, 292.557, 233.239); TOOL_DIRECTION: (-0.181757, 0.145952, -0.972452)
TIME_SPECIAL: 14898050209438; POINT_POSITION: (250.446, 289.686, 249.716); TOOL_DIRECTION: (-0.176513, 0.149461, -0.972885)
TIME_SPECIAL: 14898064887384; POINT_POSITION: (275.853, 280.196, 283.341); TOOL_DIRECTION: (-0.158654, 0.150898, -0.975735)
TIME_SPECIAL: 14898079338854; POINT_POSITION: (303.179, 266.124, 314.814); TOOL_DIRECTION: (-0.139888, 0.14437, -0.979586)
TIME_SPECIAL: 14898094187365; POINT_POSITION: (316.686, 259.444, 328.99); TOOL_DIRECTION: (-0.131891, 0.143619, -0.980805)
TIME_SPECIAL: 14898109191450; POINT_POSITION: (340.772, 239.619, 353.215); TOOL_DIRECTION: (-0.125531, 0.11909, -0.984916)
TIME_SPECIAL: 14898122804273; POINT_POSITION: (366.827, 223.548, 369.008); TOOL_DIRECTION: (-0.114569, 0.106052, -0.987738)
TIME_SPECIAL: 14898137700591; POINT_POSITION: (378.396, 215.814, 374.582); TOOL_DIRECTION: (-0.109137, 0.0980891, -0.989175)
TIME_SPECIAL: 14898150040858; POINT_POSITION: (401.274, 199.601, 380.077); TOOL_DIRECTION: (-0.0877247, 0.0742047, -0.993377)
TIME_SPECIAL: 14898165296943; POINT_POSITION: (420.46, 188.684, 382.582); TOOL_DIRECTION: (-0.0772328, 0.0908897, -0.992862)
TIME_SPECIAL: 14898178889509; POINT_POSITION: (430.426, 182.531, 380.331); TOOL_DIRECTION: (-0.0641897, 0.0832747, -0.994457)
TIME_SPECIAL: 14898192590653; POINT_POSITION: (449.347, 173.101, 376.35); TOOL_DIRECTION: (-0.0466876, 0.0801759, -0.995687)
TIME_SPECIAL: 14898207174200; POINT_POSITION: (456.437, 168.546, 369.58); TOOL_DIRECTION: (-0.0459822, 0.0742668, -0.996178)
TIME_SPECIAL: 14898219690705; POINT_POSITION: (474.307, 157.497, 359.344); TOOL_DIRECTION: (-0.0274322, 0.0641512, -0.997563)
TIME_SPECIAL: 14898232549961; POINT_POSITION: (481.47, 151.295, 352.723); TOOL_DIRECTION: (-0.0236282, 0.0565173, -0.998122)
TIME_SPECIAL: 14898248523555; POINT_POSITION: (497.659, 138.29, 340.771); TOOL_DIRECTION: (-0.00579151, 0.0460947, -0.99892)
TIME_SPECIAL: 14898261056671; POINT_POSITION: (512.081, 127.058, 326.893); TOOL_DIRECTION: (0.00669655, 0.0433991, -0.999035)
TIME_SPECIAL: 14898274510272; POINT_POSITION: (520.655, 120.986, 319.037); TOOL_DIRECTION: (0.0213275, 0.0380871, -0.999047)
TIME_SPECIAL: 14898288243018; POINT_POSITION: (535.777, 112.448, 306.271); TOOL_DIRECTION: (0.0364265, 0.0442255, -0.998357)
TIME_SPECIAL: 14898301760227; POINT_POSITION: (544.752, 108.704, 299.927); TOOL_DIRECTION: (0.0516763, 0.0461187, -0.997598)
TIME_SPECIAL: 14898314441219; POINT_POSITION: (558.178, 102.06, 286.377); TOOL_DIRECTION: (0.0682059, 0.0440854, -0.996697)
TIME_SPECIAL: 14898328354659; POINT_POSITION: (563.828, 97.4075, 279.852); TOOL_DIRECTION: (0.0712273, 0.0359242, -0.996813)
TIME_SPECIAL: 14898340998379; POINT_POSITION: (576.259, 90.9689, 266.276); TOOL_DIRECTION: (0.0846046, 0.0311936, -0.995926)
TIME_SPECIAL: 14898354548404; POINT_POSITION: (580.909, 88.1944, 260.04); TOOL_DIRECTION: (0.0851577, 0.0285971, -0.995957)
TIME_SPECIAL: 14898368395400; POINT_POSITION: (592.823, 82.3357, 247.408); TOOL_DIRECTION: (0.0946127, 0.023424, -0.995239)
TIME_SPECIAL: 14898381523671; POINT_POSITION: (602.494, 74.8925, 235.819); TOOL_DIRECTION: (0.10002, 0.00860472, -0.994948)
