PRACTICE_WORD_COUNT: 8
TIME_EXPERIMENT_START: 123840877189279
TIME_WORD_START: 123840877819318; WORD_VALUE: dinned
TIME_SPECIAL: 123843755736201; POINT_POSITION: (560.499, 193.646, 0); TOOL_DIRECTION: (0.116621, -0.240135, -0.963709)
TIME_SPECIAL: 123843772387726; POINT_POSITION: (561.17, 189.232, 0); TOOL_DIRECTION: (0.119069, -0.251688, -0.960456)
TIME_SPECIAL: 123843789066557; POINT_POSITION: (561.884, 184.004, 0); TOOL_DIRECTION: (0.121618, -0.264284, -0.956746)
TIME_SPECIAL: 123843805777246; POINT_POSITION: (562.705, 179.048, 0); TOOL_DIRECTION: (0.12444, -0.277085, -0.952753)
TIME_SPECIAL: 123843822398336; POINT_POSITION: (563.672, 175.134, 0); TOOL_DIRECTION: (0.126792, -0.289009, -0.948893)
TIME_PRESSED: 123843822434175; KEY_PRESSED: VK_N; KEY_EXPECTED: VK_N
TIME_SPECIAL: 123843839115567; POINT_POSITION: (565.123, 173.013, 0); TOOL_DIRECTION: (0.129537, -0.292838, -0.947347)
TIME_SPECIAL: 123843855765385; POINT_POSITION: (566.212, 170.956, 0); TOOL_DIRECTION: (0.131931, -0.297365, -0.945605)
TIME_SPECIAL: 123843872393870; POINT_POSITION: (567.305, 168.234, 0); TOOL_DIRECTION: (0.134246, -0.303751, -0.943246)
TIME_SPECIAL: 123843889147509; POINT_POSITION: (567.744, 166.26, 0); TOOL_DIRECTION: (0.135385, -0.309322, -0.941271)
TIME_SPECIAL: 123843905816385; POINT_POSITION: (568.957, 162.693, 0); TOOL_DIRECTION: (0.137485, -0.316716, -0.938504)
TIME_SPECIAL: 123843922410168; POINT_POSITION: (570.284, 159.961, 0); TOOL_DIRECTION: (0.140021, -0.322452, -0.936172)
