PRACTICE_WORD_COUNT: 7
TIME_EXPERIMENT_START: 154873377644387
TIME_WORD_START: 154873378223511; WORD_VALUE: tom
TIME_SPECIAL: 154876207296281; POINT_POSITION: (640.657, 187.871, 378.435); TOOL_DIRECTION: (0.169552, -0.0796846, -0.982294)
TIME_SPECIAL: 154876223954348; POINT_POSITION: (638.91, 190.107, 382.249); TOOL_DIRECTION: (0.168291, -0.0709185, -0.983183)
TIME_SPECIAL: 154876240614406; POINT_POSITION: (637.273, 191.436, 385.541); TOOL_DIRECTION: (0.166762, -0.0696748, -0.983532)
TIME_SPECIAL: 154876257296082; POINT_POSITION: (636.227, 191.813, 387.747); TOOL_DIRECTION: (0.166069, -0.0719376, -0.983487)
TIME_SPECIAL: 154876274022130; POINT_POSITION: (635.515, 192.037, 389.439); TOOL_DIRECTION: (0.165429, -0.0739191, -0.983448)
TIME_SPECIAL: 154876290649762; POINT_POSITION: (634.984, 192.148, 390.889); TOOL_DIRECTION: (0.165118, -0.0750631, -0.983413)
TIME_SPECIAL: 154876307353340; POINT_POSITION: (634.585, 192.231, 391.892); TOOL_DIRECTION: (0.164627, -0.0770254, -0.983344)
TIME_SPECIAL: 154876324006571; POINT_POSITION: (634.544, 192.375, 392.359); TOOL_DIRECTION: (0.165348, -0.076652, -0.983252)
TIME_SPECIAL: 154876340678007; POINT_POSITION: (634.565, 192.453, 392.322); TOOL_DIRECTION: (0.164892, -0.0770617, -0.983297)
TIME_SPECIAL: 154876357385851; POINT_POSITION: (634.584, 192.559, 391.903); TOOL_DIRECTION: (0.164413, -0.0765929, -0.983413)
TIME_SPECIAL: 154876374018319; POINT_POSITION: (634.591, 192.585, 390.979); TOOL_DIRECTION: (0.163769, -0.0774236, -0.983456)
TIME_SPECIAL: 154876390719621; POINT_POSITION: (634.725, 192.586, 389.905); TOOL_DIRECTION: (0.163558, -0.0776782, -0.983471)
TIME_SPECIAL: 154876407351804; POINT_POSITION: (634.698, 192.583, 389.388); TOOL_DIRECTION: (0.162713, -0.0780751, -0.98358)
TIME_SPECIAL: 154876423997640; POINT_POSITION: (634.425, 192.509, 388.338); TOOL_DIRECTION: (0.160695, -0.0807318, -0.983697)
